GeoCode,BuildingType,NumberOfFloors,YearBuilt,BuildingCount
1101,MultiDwelling,5Floors,Unknown,11
1101,MultiDwelling,6Floors,Unknown,0
1101,MultiDwelling,7Floors,Unknown,0
1101,MultiDwelling,8Floors,Unknown,0
1101,MultiDwelling,9Floors,Unknown,0
1101,MultiDwelling,10Floors,Unknown,0
1101,MultiDwelling,11to12Floors,Unknown,0
1101,MultiDwelling,13PlusFloors,Unknown,0
1101,MultiDwelling,Unknown,Unknown,23
1101,NonResidential,1Floor,Unknown,0
1101,NonResidential,2Floors,Unknown,1
1101,NonResidential,3Floors,Unknown,0
1101,NonResidential,4Floors,Unknown,1
1101,NonResidential,5Floors,Unknown,1
1101,NonResidential,6Floors,Unknown,0
1101,NonResidential,7Floors,Unknown,0
1101,NonResidential,8Floors,Unknown,0
1101,NonResidential,9Floors,Unknown,0
1101,NonResidential,10Floors,Unknown,0
1101,NonResidential,11to12Floors,Unknown,0
1101,NonResidential,13PlusFloors,Unknown,0
1101,NonResidential,Unknown,Unknown,61
1102,SingleFamily,1Floor,1919andBefore,4
1102,SingleFamily,2Floors,1919andBefore,3
1102,SingleFamily,3Floors,1919andBefore,3
1102,SingleFamily,4Floors,1919andBefore,0
1102,SingleFamily,5Floors,1919andBefore,0
1102,SingleFamily,6Floors,1919andBefore,0
1102,SingleFamily,7Floors,1919andBefore,0
1102,SingleFamily,8Floors,1919andBefore,0
1102,SingleFamily,9Floors,1919andBefore,0
1102,SingleFamily,10Floors,1919andBefore,0
1102,SingleFamily,11to12Floors,1919andBefore,0
1102,SingleFamily,13PlusFloors,1919andBefore,0
1102,SingleFamily,Unknown,1919andBefore,1
1102,MultiDwelling,1Floor,1919andBefore,3
1102,MultiDwelling,2Floors,1919andBefore,9
1102,MultiDwelling,3Floors,1919andBefore,69
1102,MultiDwelling,4Floors,1919andBefore,309
1102,MultiDwelling,5Floors,1919andBefore,690
1102,MultiDwelling,6Floors,1919andBefore,176
1102,MultiDwelling,7Floors,1919andBefore,36
1102,MultiDwelling,8Floors,1919andBefore,7
1102,MultiDwelling,9Floors,1919andBefore,0
1102,MultiDwelling,10Floors,1919andBefore,0
1102,MultiDwelling,11to12Floors,1919andBefore,0
1102,MultiDwelling,13PlusFloors,1919andBefore,0
1102,MultiDwelling,Unknown,1919andBefore,37
1102,NonResidential,1Floor,1919andBefore,1
1102,NonResidential,2Floors,1919andBefore,5
1102,NonResidential,3Floors,1919andBefore,8
1102,NonResidential,4Floors,1919andBefore,13
1102,NonResidential,5Floors,1919andBefore,17
1102,NonResidential,6Floors,1919andBefore,2
1102,NonResidential,7Floors,1919andBefore,1
1102,NonResidential,8Floors,1919andBefore,0
1102,NonResidential,9Floors,1919andBefore,0
1102,NonResidential,10Floors,1919andBefore,0
1102,NonResidential,11to12Floors,1919andBefore,0
1102,NonResidential,13PlusFloors,1919andBefore,0
1102,NonResidential,Unknown,1919andBefore,0
1102,SingleFamily,1Floor,1920to1945,1
1102,SingleFamily,2Floors,1920to1945,2
1102,SingleFamily,3Floors,1920to1945,4
1102,SingleFamily,4Floors,1920to1945,0
1102,SingleFamily,5Floors,1920to1945,0
1102,SingleFamily,6Floors,1920to1945,0
1102,SingleFamily,7Floors,1920to1945,0
1102,SingleFamily,8Floors,1920to1945,0
1102,SingleFamily,9Floors,1920to1945,0
1102,SingleFamily,10Floors,1920to1945,0
1102,SingleFamily,11to12Floors,1920to1945,0
1102,SingleFamily,13PlusFloors,1920to1945,0
1102,SingleFamily,Unknown,1920to1945,0
1102,MultiDwelling,1Floor,1920to1945,1
1102,MultiDwelling,2Floors,1920to1945,2
1102,MultiDwelling,3Floors,1920to1945,14
1102,MultiDwelling,4Floors,1920to1945,47
1102,MultiDwelling,5Floors,1920to1945,168
1102,MultiDwelling,6Floors,1920to1945,88
1102,MultiDwelling,7Floors,1920to1945,63
1102,MultiDwelling,8Floors,1920to1945,22
1102,MultiDwelling,9Floors,1920to1945,1
1102,MultiDwelling,10Floors,1920to1945,0
1102,MultiDwelling,11to12Floors,1920to1945,0
1102,MultiDwelling,13PlusFloors,1920to1945,1
1102,MultiDwelling,Unknown,1920to1945,24
1102,NonResidential,1Floor,1920to1945,0
1102,NonResidential,2Floors,1920to1945,1
1102,NonResidential,3Floors,1920to1945,1
1102,NonResidential,4Floors,1920to1945,3
1102,NonResidential,5Floors,1920to1945,3
1102,NonResidential,6Floors,1920to1945,3
1102,NonResidential,7Floors,1920to1945,2
1102,NonResidential,8Floors,1920to1945,0
1102,NonResidential,9Floors,1920to1945,0
1102,NonResidential,10Floors,1920to1945,0
1102,NonResidential,11to12Floors,1920to1945,0
1102,NonResidential,13PlusFloors,1920to1945,0
1102,NonResidential,Unknown,1920to1945,0
1102,SingleFamily,1Floor,1946to1960,0
1102,SingleFamily,2Floors,1946to1960,1
1102,SingleFamily,3Floors,1946to1960,1
1102,SingleFamily,4Floors,1946to1960,0
1102,SingleFamily,5Floors,1946to1960,0
1102,SingleFamily,6Floors,1946to1960,0
1102,SingleFamily,7Floors,1946to1960,0
1102,SingleFamily,8Floors,1946to1960,0
1102,SingleFamily,9Floors,1946to1960,0
1102,SingleFamily,10Floors,1946to1960,0
1102,SingleFamily,11to12Floors,1946to1960,0
1102,SingleFamily,13PlusFloors,1946to1960,0
1102,SingleFamily,Unknown,1946to1960,0
1102,MultiDwelling,1Floor,1946to1960,0
1102,MultiDwelling,2Floors,1946to1960,0
1102,MultiDwelling,3Floors,1946to1960,2
1102,MultiDwelling,4Floors,1946to1960,0
1102,MultiDwelling,5Floors,1946to1960,5
1102,MultiDwelling,6Floors,1946to1960,7
1102,MultiDwelling,7Floors,1946to1960,5
1102,MultiDwelling,8Floors,1946to1960,3
1102,MultiDwelling,9Floors,1946to1960,0
1102,MultiDwelling,10Floors,1946to1960,0
1102,MultiDwelling,11to12Floors,1946to1960,0
1102,MultiDwelling,13PlusFloors,1946to1960,0
1102,MultiDwelling,Unknown,1946to1960,0
1102,NonResidential,1Floor,1946to1960,0
1102,NonResidential,2Floors,1946to1960,0
1102,NonResidential,3Floors,1946to1960,1
1102,NonResidential,4Floors,1946to1960,0
1102,NonResidential,5Floors,1946to1960,1
1102,NonResidential,6Floors,1946to1960,0
1102,NonResidential,7Floors,1946to1960,1
1102,NonResidential,8Floors,1946to1960,0
1102,NonResidential,9Floors,1946to1960,0
1102,NonResidential,10Floors,1946to1960,0
1102,NonResidential,11to12Floors,1946to1960,0
1102,NonResidential,13PlusFloors,1946to1960,0
1102,NonResidential,Unknown,1946to1960,0
1102,SingleFamily,1Floor,1961to1970,1
1102,SingleFamily,2Floors,1961to1970,0
1102,SingleFamily,3Floors,1961to1970,0
1102,SingleFamily,4Floors,1961to1970,0
1102,SingleFamily,5Floors,1961to1970,0
1102,SingleFamily,6Floors,1961to1970,0
1102,SingleFamily,7Floors,1961to1970,0
1102,SingleFamily,8Floors,1961to1970,0
1102,SingleFamily,9Floors,1961to1970,0
1102,SingleFamily,10Floors,1961to1970,0
1102,SingleFamily,11to12Floors,1961to1970,0
1102,SingleFamily,13PlusFloors,1961to1970,0
1102,SingleFamily,Unknown,1961to1970,0
1102,MultiDwelling,1Floor,1961to1970,0
1102,MultiDwelling,2Floors,1961to1970,1
1102,MultiDwelling,3Floors,1961to1970,0
1102,MultiDwelling,4Floors,1961to1970,1
1102,MultiDwelling,5Floors,1961to1970,2
1102,MultiDwelling,6Floors,1961to1970,1
1102,MultiDwelling,7Floors,1961to1970,6
1102,MultiDwelling,8Floors,1961to1970,2
1102,MultiDwelling,9Floors,1961to1970,1
1102,MultiDwelling,10Floors,1961to1970,0
1102,MultiDwelling,11to12Floors,1961to1970,0
1102,MultiDwelling,13PlusFloors,1961to1970,0
1102,MultiDwelling,Unknown,1961to1970,1
1102,NonResidential,1Floor,1961to1970,1
1102,NonResidential,2Floors,1961to1970,0
1102,NonResidential,3Floors,1961to1970,0
1102,NonResidential,4Floors,1961to1970,0
1102,NonResidential,5Floors,1961to1970,0
1102,NonResidential,6Floors,1961to1970,1
1102,NonResidential,7Floors,1961to1970,0
1102,NonResidential,8Floors,1961to1970,0
1102,NonResidential,9Floors,1961to1970,0
1102,NonResidential,10Floors,1961to1970,0
1102,NonResidential,11to12Floors,1961to1970,0
1102,NonResidential,13PlusFloors,1961to1970,0
1102,NonResidential,Unknown,1961to1970,0
1102,SingleFamily,1Floor,1971to1980,0
1102,SingleFamily,2Floors,1971to1980,0
1102,SingleFamily,3Floors,1971to1980,0
