AREA,ReturnPeriod,AGG_RES_GU,AGG_RES_BLDG_GU,AGG_RES_CONT_GU,AGG_COM_GU,AGG_Com_Bldg_GU,AGG_Com_Cont_GU,AGG_IND_GU,AGG_Ind_Bldg_GU,AGG_Ind_Cont_GU,AGG_COMTOTAL_GU,AGG_AGR_GU,AGG_AUTO_GU,AGG_TOTAL_GU,AGG_RES_GR,AGG_RES_BLDG_GR,AGG_RES_CONT_GR,AGG_COM_GR,AGG_IND_GR,AGG_COMTOTAL_GR,AGG_AGR_GR,AGG_AUTO_GR,AGG_TOTAL_GR,AGG_RES_INS,AGG_RES_BLDG_INS,AGG_RES_CONT_INS,AGG_COM_INS,AGG_IND_INS,AGG_COMTOTAL_INS,AGG_AGR_INS,AGG_AUTO_INS,AGG_TOTAL_INS
CZE_10,2500,15914872.35,10579518.48,5389501.111,38037573.63,21959167.38,13423745.83,8724479.479,3113409.008,3524594.834,44333839.58,0,471745.0088,60518569.22,15812659.88,10520491.21,5334115.955,36091207.27,7213844.575,42040203.78,0,307112.425,57920755.13,8525999.364,5377728.427,3148270.937,23412281.74,5398398.04,27551443.04,0,214978.6983,35989152.64
CZE_10,5000,18698411.69,12405762.25,6019600.158,43961273.08,25268145.67,14435612.8,8955222.588,3238156.576,3637699.94,52706114.39,0,536841.4607,71946804.99,18459003.15,12331463.16,5970460.47,40956689.63,8161123.905,47814364.23,0,344428.2882,66860976.94,9020868.966,5672755.256,3348113.711,24004594.36,5885141.662,29488641.71,0,241099.8001,38731748.2
CZE_10,10000,18833397.74,12813797.59,6292649.447,44710313.75,26427481.82,15702804.22,9272354.783,3407011.142,4109786.558,53233627.86,0,557989.247,72431382.75,18739500.28,12769039.81,6127539.982,41324957.77,8663267.602,49988225.37,0,410475.093,68732370.6,10138352.72,6563446.698,3574906.018,28875530.18,5971406.033,34273928.22,0,287332.5672,44627259.64
CZE_11,0,595125.0116,408006.2881,187118.7235,4471467.414,2440115.903,1721486.639,159783.4092,61499.04399,67142.97685,4631250.823,0,19363.97959,5245739.815,589074.4432,405778.346,183296.0972,4184911.04,144417.2706,4329328.311,0,13031.18173,4931433.935,184401.8201,118495.033,65906.7871,1366227.311,44305.72428,1410533.035,0,5004.660834,1599939.516
CZE_11,2,330500.8713,226563.7557,103238.9695,2317034.015,1233509.723,898612.7137,97513.24326,36302.6459,40605.15228,2414636.925,0,20312.74799,2765370.63,325436.0093,224818.168,100075.5422,2068838.146,77543.20827,2151939.131,0,12062.36549,2490640.238,0,0,0,0,0,0,0,0,0
CZE_11,5,503110.9042,348963.7189,155632.3319,3488093.233,1902506.769,1353671.774,144190.6411,56073.16714,61170.58338,3632025.579,0,31279.33836,4166239.749,495752.4513,346537.591,151079.3595,3155177.321,123615.5633,3276385.803,0,22125.3884,3792667.969,248327.1473,160910.7961,86579.87841,1746063.625,65311.26911,1811074.438,0,11618.82654,2071230.812
CZE_11,10,790080.7009,548004.4158,243384.8456,5513470.897,2985569.124,2116421.632,230817.3414,87770.14144,95610.56898,5744038.057,0,49105.87243,6583555.049,779241.3113,543849.7434,235882.525,4957098.402,195202.345,5144216.862,0,33634.11198,5957506.284,344339.0585,224750.0043,119513.206,2426057.096,90791.63211,2516883.728,0,16381.54939,2877508.78
CZE_11,20,977535.8261,678923.9743,301256.9856,6777780.037,3699426.621,2621393.893,280779.9067,108736.8297,118339.8361,7058300.695,0,60825.50908,8093986.156,966758.484,674175.4016,293181.7844,6148682.842,239036.3446,6383352.984,0,41108.94666,7389368.588,545025.792,355086.2119,188892.4025,3828159.631,143219.977,3971825.717,0,25722.3207,4546414.269
CZE_11,40,1200978.641,829986.4704,369160.6319,8359608.946,4517276.466,3208353.072,349002.9848,132891.0224,144888.5609,8706726.826,0,74319.46489,9979813.645,1179903.974,823706.4713,358047.1405,7483828.949,296601.8357,7791286.781,0,51545.38208,9014807.74,658009.5601,431932.3565,229027.126,4614539.478,172800.7555,4786735.666,0,31476.22739,5475644.121
CZE_11,50,1253417.594,865950.4548,386260.8257,8735178.268,4717209.46,3356742.828,363264.1022,138751.8764,151544.1845,9097665.97,0,77565.67745,10430012.58,1233558.527,859466.9601,374130.2988,7820019.52,310911.6625,8136935.191,0,53890.88503,9431299.054,725442.6126,472374.118,254742.2352,5110478.091,191213.4039,5302229.961,0,34273.71458,6061451.745
