CantonCode,CantonName,BuildingType,DwellingsPerBuilding,NumberOfFloors,YearBuilt,BuildingCount
01,Aargau,SingleFamily,1Unit,4Floors,1918AndBefore,128
01,Aargau,SingleFamily,1Unit,4Floors,1919to1945,61
01,Aargau,SingleFamily,1Unit,4Floors,1946to1960,14
01,Aargau,SingleFamily,1Unit,4Floors,1961to1970,17
01,Aargau,SingleFamily,1Unit,4Floors,1971to1980,51
01,Aargau,SingleFamily,1Unit,4Floors,1981to1990,138
01,Aargau,SingleFamily,1Unit,4Floors,1991to2000,67
01,Aargau,SingleFamily,1Unit,4Floors,2001to2005,33
01,Aargau,SingleFamily,1Unit,4Floors,2006to2013,46
01,Aargau,SingleFamily,1Unit,5Floors,1918AndBefore,13
01,Aargau,SingleFamily,1Unit,5Floors,1919to1945,2
01,Aargau,SingleFamily,1Unit,5Floors,1946to1960,3
01,Aargau,SingleFamily,1Unit,5Floors,1961to1970,6
01,Aargau,SingleFamily,1Unit,5Floors,1971to1980,6
01,Aargau,SingleFamily,1Unit,5Floors,1981to1990,24
01,Aargau,SingleFamily,1Unit,5Floors,1991to2000,3
01,Aargau,SingleFamily,1Unit,5Floors,2001to2005,0
01,Aargau,SingleFamily,1Unit,5Floors,2006to2013,3
01,Aargau,SingleFamily,1Unit,6Floors,1918AndBefore,0
01,Aargau,SingleFamily,1Unit,6Floors,1919to1945,0
01,Aargau,SingleFamily,1Unit,6Floors,1946to1960,0
01,Aargau,SingleFamily,1Unit,6Floors,1961to1970,1
01,Aargau,SingleFamily,1Unit,6Floors,1971to1980,0
01,Aargau,SingleFamily,1Unit,6Floors,1981to1990,3
01,Aargau,SingleFamily,1Unit,6Floors,1991to2000,1
01,Aargau,SingleFamily,1Unit,6Floors,2001to2005,0
01,Aargau,SingleFamily,1Unit,6Floors,2006to2013,0
01,Aargau,SingleFamily,1Unit,7Floors,1918AndBefore,0
01,Aargau,SingleFamily,1Unit,7Floors,1919to1945,0
01,Aargau,SingleFamily,1Unit,7Floors,1946to1960,0
01,Aargau,SingleFamily,1Unit,7Floors,1961to1970,0
01,Aargau,SingleFamily,1Unit,7Floors,1971to1980,0
01,Aargau,SingleFamily,1Unit,7Floors,1981to1990,0
01,Aargau,SingleFamily,1Unit,7Floors,1991to2000,0
01,Aargau,SingleFamily,1Unit,7Floors,2001to2005,0
01,Aargau,SingleFamily,1Unit,7Floors,2006to2013,0
01,Aargau,SingleFamily,1Unit,8Floors,1918AndBefore,0
01,Aargau,SingleFamily,1Unit,8Floors,1919to1945,0
01,Aargau,SingleFamily,1Unit,8Floors,1946to1960,0
01,Aargau,SingleFamily,1Unit,8Floors,1961to1970,0
01,Aargau,SingleFamily,1Unit,8Floors,1971to1980,0
01,Aargau,SingleFamily,1Unit,8Floors,1981to1990,0
01,Aargau,SingleFamily,1Unit,8Floors,1991to2000,0
01,Aargau,SingleFamily,1Unit,8Floors,2001to2005,0
01,Aargau,SingleFamily,1Unit,8Floors,2006to2013,0
01,Aargau,SingleFamily,1Unit,9Floors,1918AndBefore,0
01,Aargau,SingleFamily,1Unit,9Floors,1919to1945,0
